Timestamp,Object Color,Center X,Center Y,Bounding Box Width,Bounding Box Height,Target X,Target Y,Actual X,Actual Y,Error X,Error Y,Success,Elapsed Time
2025-01-07 18:49:44,segienamKuning,833,564,121,99,132,6,128,2,4,4,True,0.490999223240448
2025-01-07 18:49:44,segienamKuning,709,654,121,102,38,7,36,3,2,4,False,0.21163980961016288
2025-01-07 18:49:45,Kuning,833,564,tensor(121.3934),tensor(99.4872),43,77,45,75,2,2,True,0.0010042190551757812
2025-01-07 18:49:45,segienamKuning,810,590,115,105,144,68,144,68,0,0,True,0.31450521319391855
2025-01-07 18:49:45,persegiKuning,810,591,116,106,195,57,193,60,2,3,True,0.43063442749170766
2025-01-07 18:49:45,Fail to pick,810,591,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:46,segienamKuning,824,563,124,103,80,77,78,76,2,1,True,0.12854483511266107
2025-01-07 18:49:46,Kuning,824,563,tensor(124.8848),tensor(103.1507),43,76,47,79,4,3,True,0.0004978179931640625
2025-01-07 18:49:46,segienamKuning,830,561,116,103,40,28,36,31,4,3,True,0.3483442236218531
2025-01-07 18:49:46,Fail to pick,830,561,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:46,segienamKuning,832,563,114,105,60,87,63,90,3,3,True,0.31537752638306094
2025-01-07 18:49:46,Fail to pick,832,563,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:47,segienamKuning,826,565,115,103,42,39,39,35,3,4,True,0.359856636835857
2025-01-07 18:49:47,Fail to pick,826,565,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:47,segienamKuning,822,564,118,99,116,49,119,45,3,4,False,0.19712429351535016
2025-01-07 18:49:47,Fail to pick,822,564,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:47,segienamKuning,826,566,113,104,81,91,77,95,4,4,True,0.4536342215940399
2025-01-07 18:49:47,segienamKuning,837,658,133,94,71,22,69,20,2,2,True,0.45644066241389414
2025-01-07 18:49:47,Fail to pick,826,566,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:47,segienamKuning,824,565,114,101,98,59,96,54,2,5,True,0.43774093464205877
2025-01-07 18:49:47,Fail to pick,824,565,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:49,segienamKuning,831,560,121,104,12,64,12,65,0,1,True,0.49711088470498654
2025-01-07 18:49:49,Fail to pick,831,560,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:49,segienamKuning,827,565,115,103,43,17,38,21,5,4,True,0.43884235672576566
2025-01-07 18:49:49,Fail to pick,827,565,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:49,segienamKuning,827,565,115,103,40,7,35,4,5,3,True,0.3887395471105761
2025-01-07 18:49:49,Fail to pick,827,565,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:50,segienamKuning,770,373,128,104,62,64,60,66,2,2,True,0.43820521713709637
2025-01-07 18:49:50,Kuning,770,373,tensor(128.6204),tensor(104.1962),96,71,99,75,3,4,True,0.0
2025-01-07 18:49:51,segienamKuning,766,368,115,101,22,63,20,58,2,5,True,0.19454275561677623
2025-01-07 18:49:51,Fail to pick,766,368,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:51,segienamKuning,775,363,117,115,157,22,159,17,2,5,True,0.3897158751325128
2025-01-07 18:49:51,Fail to pick,775,363,0,0,0,0,0,0,0,0,False,0
2025-01-07 18:49:52,segienamKuning,778,370,117,106,49,60,50,62,1,2,True,0.22046011803591506
